task,occupation,paper_count,paper_ids
Back up files from Web sites to local directories for instant recovery in case of problems.,Web Developers,149,"2302.04761,2302.10850,2303.17491,2304.08103,2304.08244,2305.15334,2305.16653,2305.18323,2306.03460,2307.12856,2308.08155,2308.11601,2309.00986,2309.11436,2309.12276,2310.05421,2310.05915,2310.08740,2310.17140,2311.05437,2311.05657,2311.18751,2312.06677,2401.01614,2401.06201,2401.07324,2401.13919,2401.15724,2402.01030,2402.01135,2402.01469,2402.04253,2402.05930,2402.10178,2402.11359,2402.11941,2402.12275,2402.14658,2402.14672,2402.15057,2402.15809,2402.17505,2403.00820,2403.03481,2403.06221,2403.11905,2403.16854,2403.19962,2404.01744,2404.02183,2404.03648,2404.05902,2404.06762,2404.07439,2404.09339,2404.10887,2404.13050,2405.00516,2405.04118,2405.04219,2405.13009,2405.15793,2405.16533,2405.17402,2405.20309,2405.20347,2406.04712,2406.06799,2406.11317,2406.11709,2406.12276,2406.13381,2406.13840,2406.14928,2406.17231,2406.18082,2407.00942,2407.01476,2407.04472,2407.12821,2407.12871,2407.15711,2407.16741,2407.21040,2408.00203,2408.03910,2408.11058,2409.00608,2409.04181,2409.07429,2409.08069,2409.13449,2410.01242,2410.02810,2410.02958,2410.03439,2410.06153,2410.07706,2410.13232,2410.13825,2410.14594,2410.14627,2410.16232,2410.17236,2410.18963,2410.22932,2411.00053,2411.02337,2411.04535,2411.07464,2411.13451,2411.15004,2412.09605,2412.10434,2412.10742,2412.17149,2412.17867,2412.18072,2501.04575,2501.05255,2501.07572,2501.11613,2501.18816,2502.05664,2502.05957,2502.11140,2502.13298,2502.14693,2502.18407,2503.01940,2503.03686,2503.04787,2503.10689,2503.11237,2503.16874,2503.17753,2503.18494,2503.20201,2503.20791,2504.00255,2504.03160,2504.09407,2504.10127,2504.10458,2504.11788,2504.12477,2504.12682,2504.16073,2504.17192"
Back up network data.,Computer Network Support Specialists,116,"2303.17491,2306.03460,2307.02485,2307.12856,2308.05481,2308.08155,2308.12923,2310.00092,2310.02170,2310.08535,2310.08740,2310.10686,2310.16340,2312.04889,2312.06677,2401.01614,2401.05507,2401.06201,2401.07324,2401.13649,2401.15724,2401.16158,2402.03610,2402.04253,2402.10051,2402.10178,2402.11941,2402.12234,2402.12914,2402.14891,2402.16823,2402.17531,2403.00820,2403.02502,2403.03031,2403.03101,2403.04123,2403.08140,2403.14589,2404.13050,2404.19705,2405.00516,2405.04118,2405.15793,2405.16533,2405.17441,2405.20347,2406.01014,2406.02818,2406.04151,2406.06799,2406.10803,2406.12125,2406.12639,2406.13381,2406.13840,2407.05674,2407.07061,2407.09886,2407.12821,2407.12871,2407.14402,2407.15711,2407.16741,2407.21040,2409.00557,2409.00608,2409.04181,2409.07429,2410.08164,2410.13825,2410.14594,2410.14627,2410.18032,2410.18963,2410.22457,2410.22916,2411.00427,2411.01114,2411.01643,2411.01747,2411.02337,2411.07464,2411.13451,2411.15004,2412.00652,2412.04141,2412.05449,2412.06724,2412.09605,2412.14161,2412.15701,2412.16682,2412.17149,2501.04575,2502.04392,2502.05957,2502.07373,2502.11404,2502.11705,2502.13298,2503.01490,2503.02682,2503.10689,2503.14484,2503.18666,2503.20791,2504.00587,2504.02051,2504.07421,2504.08525,2504.10036,2504.10127,2504.12477,2504.14239,2504.16073"
Back up or modify applications and related data to provide for disaster recovery.,Web Administrators,262,"2302.04761,2302.10850,2303.17491,2303.17580,2304.04370,2304.07297,2304.08103,2304.08244,2305.15334,2306.01729,2306.03460,2306.07209,2306.07906,2306.09299,2307.06187,2307.12856,2308.02151,2308.05481,2308.08155,2308.11601,2309.00986,2309.11436,2309.12276,2309.16292,2310.00092,2310.01420,2310.03714,2310.05421,2310.06272,2310.08740,2310.13227,2310.16340,2311.05437,2311.05657,2311.06330,2311.06622,2311.09818,2311.18751,2312.04854,2312.04889,2312.06677,2312.07559,2312.11242,2312.11282,2312.13545,2401.01614,2401.05507,2401.06201,2401.13649,2401.13919,2401.17244,2402.01030,2402.01053,2402.01469,2402.02643,2402.03610,2402.04253,2402.05930,2402.09205,2402.09727,2402.10051,2402.10178,2402.11489,2402.12275,2402.14672,2402.14851,2402.14871,2402.14891,2402.15057,2402.16823,2402.17505,2402.17531,2402.17574,2403.03031,2403.03101,2403.03481,2403.04123,2403.06221,2403.08978,2403.11905,2403.14443,2403.16854,2403.18802,2404.01744,2404.03648,2404.05569,2404.05902,2404.09339,2404.10887,2404.11446,2404.13050,2404.15923,2405.00516,2405.02858,2405.04219,2405.05955,2405.06691,2405.10292,2405.13021,2405.13034,2405.15784,2405.15793,2405.16205,2405.16533,2405.17402,2405.17441,2405.19425,2405.20309,2405.20347,2406.01014,2406.04151,2406.04712,2406.06799,2406.08979,2406.10803,2406.10958,2406.12276,2406.13381,2406.14550,2406.14928,2406.17231,2406.18082,2406.19228,2407.00942,2407.01476,2407.11417,2407.12821,2407.12861,2407.14402,2407.15711,2407.16741,2407.17695,2407.20183,2407.21040,2408.01380,2408.03910,2408.06520,2408.07060,2408.08688,2408.08926,2408.09785,2408.11058,2408.16991,2409.00054,2409.00557,2409.01392,2409.03512,2409.07429,2409.08069,2409.15515,2409.16120,2409.16220,2409.19006,2410.02810,2410.02958,2410.08143,2410.08164,2410.09407,2410.13181,2410.13232,2410.13825,2410.14026,2410.14594,2410.14627,2410.15625,2410.16232,2410.17236,2410.18963,2410.21784,2410.22457,2410.22552,2410.24032,2411.00427,2411.01114,2411.01511,2411.01643,2411.02337,2411.03397,2411.04329,2411.08432,2411.11581,2411.13451,2411.14484,2411.15004,2411.19443,2412.04141,2412.05449,2412.05850,2412.06724,2412.09605,2412.10422,2412.10425,2412.10434,2412.10742,2412.11713,2412.12166,2412.14161,2412.15701,2412.17149,2412.17867,2412.18072,2412.18428,2501.00332,2501.00430,2501.04575,2501.05255,2501.06189,2501.07572,2501.11107,2501.11613,2501.14731,2502.00406,2502.01390,2502.02533,2502.02534,2502.03283,2502.04306,2502.04644,2502.05664,2502.05957,2502.06205,2502.07373,2502.08820,2502.11271,2502.11404,2502.12767,2502.12929,2502.13681,2502.13957,2502.14848,2502.15690,2502.15920,2502.16810,2503.00162,2503.02628,2503.07036,2503.07044,2503.07237,2503.10689,2503.16874,2503.18102,2503.18666,2503.20201,2503.20978,2504.00255,2504.02965,2504.03160,2504.05527,2504.06271,2504.07421,2504.07643,2504.08525,2504.08725,2504.09407,2504.09723,2504.10127,2504.10458,2504.11788,2504.12477,2504.12682,2504.12734,2504.13079"
Balance and adjust gameplay experiences to ensure the critical and commercial success of the product.,Video Game Designers,178,"2302.04761,2302.05507,2302.10646,2304.09842,2305.02412,2305.05091,2305.16653,2305.17144,2305.17390,2305.19165,2306.01729,2306.07929,2307.07924,2308.01404,2308.01734,2308.02151,2308.12519,2309.01352,2309.05076,2309.12276,2309.16090,2309.17176,2310.00092,2310.01320,2310.01627,2310.03293,2310.05036,2310.05146,2310.05915,2310.08740,2310.10686,2310.14403,2310.14985,2310.17512,2310.20151,2311.00262,2311.00416,2311.05437,2311.05657,2311.06330,2311.08803,2311.12871,2312.01090,2312.03664,2312.04854,2312.07540,2312.17515,2401.02777,2401.03945,2401.06603,2401.08392,2401.09334,2401.16158,2402.01118,2402.01521,2402.02330,2402.03610,2402.05547,2402.05733,2402.08392,2402.09205,2402.10178,2402.11489,2402.11534,2402.12275,2402.12326,2402.12327,2402.13184,2402.14672,2402.19446,2403.01248,2403.02502,2403.03101,2403.03141,2403.04746,2403.05468,2403.07376,2403.11381,2403.11886,2404.00246,2404.05569,2404.07439,2404.11446,2404.17662,2404.18243,2404.18638,2404.19721,2405.00273,2405.04118,2405.06691,2405.10292,2405.13034,2405.16247,2405.16510,2405.18358,2406.02818,2406.04151,2406.07115,2406.08979,2406.10478,2406.11176,2406.11317,2406.11776,2406.13381,2407.01093,2407.01476,2407.03884,2407.13943,2407.16521,2407.17695,2408.00203,2408.01380,2408.01633,2408.02559,2408.06520,2408.10635,2408.11058,2408.16586,2409.01575,2409.10372,2409.12147,2410.01791,2410.02052,2410.02603,2410.08328,2410.13757,2410.15311,2410.18975,2410.22552,2410.24032,2411.01747,2411.02223,2411.03817,2411.05990,2411.08432,2412.01752,2412.04937,2412.05631,2412.06162,2412.09605,2412.13549,2412.18072,2501.00830,2501.01702,2501.04575,2501.12909,2501.17104,2501.18816,2502.07128,2502.11140,2502.12486,2502.14276,2502.14496,2502.14848,2502.17543,2502.18873,2503.02197,2503.03686,2503.03800,2503.05641,2503.14408,2503.15235,2503.16024,2503.18494,2503.19271,2503.20978,2503.21263,2503.21683,2503.24228,2504.07304,2504.10055,2504.10157,2504.10458,2504.11536,2504.12330,2504.14239,2504.14538,2504.16855"
Balance cash and payroll accounts.,Payroll and Timekeeping Clerks,13,"2303.17491,2305.19308,2308.02151,2312.06677,2402.12914,2403.03031,2403.11905,2406.11176,2410.08164,2410.11239,2412.14161,2502.07373,2503.22473"
"Book transportation and hotel reservations, using computer or telephone.",Travel Agents,16,"2310.05421,2310.18075,2312.12009,2312.13545,2402.07204,2404.01343,2405.18208,2406.12639,2407.04472,2409.08069,2410.16456,2411.13904,2412.14161,2502.19500,2503.04768,2504.08694"
"Break systems into their components, assign numerical values to each component, and examine the mathematical relationships between them.",Operations Research Analysts,331,"2302.00763,2303.17580,2304.04370,2304.08244,2304.09842,2304.14721,2305.02412,2305.16653,2305.17066,2305.17390,2305.18323,2306.01337,2306.07209,2307.02485,2307.06187,2307.07697,2308.06391,2308.11601,2308.12519,2308.12923,2309.00986,2309.01352,2309.08172,2309.17176,2309.17452,2310.00280,2310.01957,2310.02118,2310.02124,2310.02170,2310.03026,2310.04406,2310.05036,2310.05746,2310.08535,2310.09233,2310.10645,2310.10686,2310.13227,2310.16427,2310.17512,2310.19998,2310.20151,2311.03220,2311.05772,2311.06330,2311.06622,2311.07590,2311.08166,2311.08803,2311.09618,2311.09721,2311.09818,2311.10813,2311.17227,2311.17371,2311.18751,2312.01090,2312.03022,2312.03664,2312.04854,2312.06351,2312.08926,2312.13876,2312.17180,2401.03408,2401.04259,2401.05507,2401.06603,2401.12178,2401.14016,2401.16788,2401.17244,2401.17464,2402.00798,2402.01469,2402.01521,2402.01704,2402.02330,2402.03610,2402.05733,2402.07204,2402.10051,2402.10178,2402.11359,2402.11451,2402.11489,2402.11712,2402.12212,2402.12327,2402.12914,2402.13184,2402.14744,2402.15813,2402.16333,2402.16823,2402.17531,2402.17574,2402.17879,2403.00820,2403.03101,2403.04123,2403.04746,2403.06221,2403.09498,2403.13002,2403.14589,2403.15464,2403.16854,2403.17246,2403.17359,2403.19839,2403.19962,2404.04735,2404.05569,2404.06413,2404.06762,2404.14394,2404.14777,2404.16698,2404.18130,2404.18638,2404.19705,2405.04118,2405.04219,2405.10292,2405.12035,2405.13009,2405.16376,2405.16510,2405.16533,2405.17402,2405.17441,2405.19425,2405.20252,2406.02818,2406.06799,2406.07155,2406.08979,2406.10803,2406.10958,2406.11176,2406.12125,2406.12708,2406.13381,2406.14373,2406.17987,2406.19966,2407.00476,2407.01231,2407.01476,2407.03884,2407.06567,2407.07061,2407.10718,2407.11417,2407.11549,2407.12821,2407.14414,2407.15073,2407.16741,2407.17695,2408.00948,2408.01380,2408.01779,2408.03615,2408.03631,2408.06292,2408.06458,2408.06520,2408.06849,2408.08688,2408.09785,2408.12036,2408.12142,2408.14033,2408.15512,2408.16081,2409.00135,2409.05556,2409.07497,2409.10372,2409.12147,2409.13445,2409.13753,2409.14913,2409.18335,2409.19338,2410.00031,2410.00354,2410.01428,2410.02810,2410.03439,2410.04753,2410.06153,2410.07706,2410.09034,2410.09252,2410.09403,2410.09407,2410.10270,2410.11507,2410.12853,2410.13181,2410.13232,2410.14152,2410.14627,2410.15168,2410.15625,2410.16456,2410.16658,2410.17238,2410.17462,2410.18032,2410.18792,2410.20007,2410.20666,2410.20746,2410.20753,2410.22457,2410.24032,2411.00028,2411.00816,2411.01114,2411.01511,2411.03817,2411.04535,2411.05990,2411.07464,2411.08432,2411.10869,2411.11581,2411.11910,2411.14484,2411.16707,2411.18915,2411.19539,2412.01752,2412.04141,2412.05449,2412.06162,2412.07144,2412.09429,2412.09796,2412.10415,2412.17061,2412.18428,2501.00224,2501.00430,2501.00830,2501.01205,2501.02031,2501.02348,2501.04227,2501.06193,2501.07813,2501.08406,2501.12051,2501.18816,2502.00988,2502.02533,2502.04180,2502.04306,2502.04392,2502.04644,2502.05439,2502.07165,2502.07373,2502.09369,2502.09858,2502.11271,2502.11404,2502.12149,2502.12486,2502.12767,2502.12929,2502.13025,2502.13957,2502.14276,2502.14499,2502.15359,2502.16565,2502.17967,2502.18228,2502.18873,2502.19279,2503.00566,2503.01829,2503.02197,2503.02682,2503.03800,2503.05592,2503.07044,2503.09572,2503.09639,2503.11739,2503.13524,2503.14620,2503.18102,2503.22122,2503.22473,2503.22708,2503.23314,2503.24228,2504.00406,2504.01911,2504.02051,2504.02670,2504.05104,2504.06260,2504.06271,2504.07421,2504.08066,2504.08525,2504.08694,2504.09781,2504.10036,2504.10055,2504.10127,2504.10157,2504.11536,2504.12322,2504.12330,2504.12563,2504.12734,2504.13472,2504.14110,2504.14597,2504.16728,2504.16918,2504.17200"
"Broadcast weather conditions, forecasts, or severe weather warnings to the public via television, radio, or the Internet or provide this information to the news media.",Atmospheric and Space Scientists,28,"2304.00116,2311.06330,2402.11451,2402.14891,2403.15729,2403.19839,2405.14205,2406.10958,2406.17987,2407.11014,2407.12821,2408.06292,2408.12036,2410.07561,2410.09403,2410.13185,2410.17462,2411.01511,2412.06412,2412.14161,2501.00224,2501.06193,2502.03283,2502.13957,2503.00566,2504.07421,2504.09781,2504.17200"
Build and update digital databases.,Cartographers and Photogrammetrists,29,"2302.00763,2303.11381,2303.17580,2304.00116,2311.09818,2312.06351,2402.02643,2402.07204,2402.14744,2405.16247,2407.11014,2407.21024,2408.11051,2409.07497,2410.11507,2410.17462,2410.18792,2410.20666,2411.01511,2411.10753,2412.05850,2412.17339,2412.18428,2501.11233,2502.00988,2502.13025,2502.21087,2503.00566,2504.08694"
Build models for algorithm or control feature verification testing.,Automotive Engineers,193,"2303.08268,2304.08244,2304.09842,2304.14721,2305.16653,2307.02485,2307.07162,2308.02151,2308.06391,2308.11601,2308.12923,2309.01352,2309.16292,2309.17176,2310.00092,2310.01627,2310.01957,2310.02071,2310.03026,2310.05915,2310.08740,2310.09536,2310.10686,2310.16427,2310.17512,2310.19998,2310.20151,2311.05772,2311.06330,2311.06622,2311.08166,2311.08803,2311.10813,2311.11904,2311.12871,2311.17371,2312.01090,2312.04372,2312.06351,2312.07540,2312.17180,2401.05443,2401.05507,2401.06603,2401.07324,2401.14016,2401.14151,2401.16158,2402.01030,2402.01469,2402.05188,2402.05733,2402.10051,2402.10178,2402.11451,2402.11489,2402.11534,2402.12275,2402.12914,2402.14891,2402.19446,2403.00810,2403.04746,2403.06221,2403.07376,2403.11886,2403.13002,2403.19962,2404.05569,2404.05902,2404.06413,2404.07738,2404.14394,2404.17525,2404.18243,2404.18638,2405.01359,2405.04118,2405.06691,2405.10292,2405.14205,2405.16247,2405.16510,2405.16533,2405.18358,2406.02818,2406.03008,2406.11176,2406.11231,2406.12125,2406.12639,2406.13163,2406.16714,2406.16903,2407.00476,2407.01476,2407.05890,2407.07061,2407.14414,2407.15073,2407.17695,2407.18035,2408.00948,2408.01380,2408.01779,2408.06520,2408.09785,2408.12036,2408.14033,2408.14307,2408.15512,2408.16081,2409.00135,2409.03256,2409.06205,2409.09040,2409.12147,2409.12411,2409.16686,2409.19471,2410.02052,2410.02742,2410.06153,2410.10270,2410.15281,2410.15625,2410.16400,2410.16919,2410.17462,2410.19811,2410.20007,2410.20753,2410.22457,2410.24032,2411.01114,2411.01747,2411.02599,2411.03817,2411.10869,2411.14484,2411.16707,2411.18915,2411.19539,2412.01752,2412.04141,2412.06162,2412.09605,2412.15462,2501.00830,2501.02342,2501.08406,2501.12909,2501.18816,2502.02533,2502.05664,2502.07373,2502.09858,2502.10857,2502.11140,2502.11799,2502.12929,2502.14276,2502.14693,2502.14848,2502.15359,2502.16565,2502.18873,2503.02682,2503.03686,2503.03800,2503.05641,2503.08162,2503.16024,2503.18494,2503.18666,2503.21735,2503.22122,2503.22708,2503.24228,2504.00255,2504.01911,2504.06260,2504.07421,2504.08066,2504.09602,2504.09781,2504.10055,2504.10127,2504.10458,2504.11243,2504.11536,2504.12330,2504.16918"
"Build, test, and modify product prototypes, using working models or theoretical models constructed with computer simulation.",Computer Hardware Engineers,211,"2302.04761,2303.08268,2303.17580,2304.04370,2304.05332,2304.08244,2304.14721,2305.16653,2305.17390,2306.07209,2306.15724,2307.02485,2307.05973,2307.06187,2307.07924,2308.06391,2308.12923,2309.11436,2309.16292,2310.01957,2310.02124,2310.02264,2310.03026,2310.08740,2310.09233,2310.10645,2310.13227,2310.17512,2310.19998,2311.06330,2311.07590,2311.08166,2311.17371,2312.03664,2312.06351,2312.08926,2312.13010,2312.17025,2312.17180,2401.03388,2401.05443,2401.05507,2401.06603,2401.12963,2401.15724,2401.17244,2402.01030,2402.05188,2402.05733,2402.11489,2402.12275,2402.12914,2402.14658,2402.14672,2402.14891,2402.15809,2402.16333,2402.16823,2402.17574,2402.17879,2403.04746,2403.08140,2403.13002,2403.16854,2403.19839,2404.05569,2404.06413,2404.07439,2404.14394,2404.15190,2404.17525,2404.18130,2405.00461,2405.01359,2405.04118,2405.04219,2405.06691,2405.08888,2405.14205,2405.14314,2405.15793,2405.16510,2405.16533,2405.18358,2406.03008,2406.04151,2406.04712,2406.06799,2406.08979,2406.09988,2406.10958,2406.11231,2406.11555,2406.11776,2406.16903,2406.19228,2406.19966,2407.00476,2407.05890,2407.07061,2407.10718,2407.12871,2407.14402,2407.17695,2408.01380,2408.03615,2408.03631,2408.12036,2408.14033,2408.14307,2408.15512,2408.16081,2409.00135,2409.00608,2409.01392,2409.03166,2409.06205,2409.09040,2409.11411,2409.12294,2409.13753,2409.18345,2409.19471,2410.02052,2410.02089,2410.02742,2410.06153,2410.08328,2410.09034,2410.09407,2410.13757,2410.14627,2410.15281,2410.15625,2410.16658,2410.16919,2410.17238,2410.18032,2410.18963,2410.19811,2410.20624,2410.21909,2410.22457,2411.01114,2411.02599,2411.04329,2411.10753,2411.11581,2411.11910,2411.16707,2412.15462,2412.16172,2412.16844,2412.17149,2412.21139,2412.21154,2501.00224,2501.00830,2501.01205,2501.01702,2501.02342,2501.04575,2501.06193,2501.08406,2501.12539,2502.00988,2502.02067,2502.02533,2502.02534,2502.04306,2502.04392,2502.04485,2502.04644,2502.05664,2502.07373,2502.09858,2502.10857,2502.11404,2502.11705,2502.12929,2502.14499,2502.14693,2502.14848,2502.16565,2502.17543,2502.17651,2502.19279,2503.02197,2503.02519,2503.03800,2503.08162,2503.09501,2503.09572,2503.09639,2503.13553,2503.14269,2503.18494,2503.18666,2503.18891,2503.19271,2503.20279,2503.22122,2504.02051,2504.03561,2504.05527,2504.06260,2504.07830,2504.09602,2504.10036,2504.11243,2504.12477"
"Buy or sell stocks, bonds, commodity futures, foreign currencies, or other securities on behalf of investment dealers.","Securities, Commodities, and Financial Services Sales Agents",29,"2306.07209,2308.05361,2310.05746,2401.05799,2402.01737,2402.03659,2402.15813,2403.14443,2406.19966,2407.06567,2408.15879,2409.14913,2410.00031,2410.00354,2410.01039,2410.01555,2410.19727,2410.21741,2412.02205,2412.14161,2412.18690,2502.00415,2502.05439,2502.12149,2502.13127,2502.17967,2502.18471,2504.05104,2504.05862"
Calculate actual treatment dosages delivered during each session.,Radiation Therapists,7,"2311.10537,2406.13890,2407.21051,2410.12532,2410.13610,2410.17657,2503.17553"
Calculate amount of claim.,Insurance Claims and Policy Processing Clerks,12,"2305.19308,2306.07209,2308.05361,2402.04411,2402.14871,2403.14443,2406.12197,2408.15879,2410.21784,2412.11063,2412.14161,2412.15274"
"Calculate and compile order-related statistics, and prepare reports for management.",Order Clerks,8,"2305.19308,2405.20347,2407.11384,2410.01039,2412.02205,2412.15274,2502.01390,2502.17967"
"Calculate and prepare checks for utilities, taxes, and other payments.","Bookkeeping, Accounting, and Auditing Clerks",13,"2305.19308,2401.05799,2402.14871,2405.16533,2407.06567,2410.08164,2410.11239,2410.19727,2410.21741,2412.14161,2502.17967,2502.18228,2502.18471"
Calculate applicable government grain quotas.,"Buyers and Purchasing Agents, Farm Products",6,"2402.01737,2402.15813,2407.11384,2409.13537,2410.14152,2412.18690"
Calculate clients' available monthly income to meet debt obligations.,Credit Counselors,8,"2308.05361,2402.01737,2407.06567,2408.15879,2410.21741,2502.18228,2503.21080,2504.05862"
Calculate costs for billings or commissions.,"Securities, Commodities, and Financial Services Sales Agents",19,"2308.05361,2401.05799,2402.03659,2405.16376,2406.19966,2407.06567,2408.15879,2410.00031,2410.00354,2410.19727,2410.21741,2412.18690,2501.12399,2502.00415,2502.05439,2502.17967,2502.18471,2504.05104,2504.05862"
